Words,Count
recalling,7
World,7
Summer,7
mallorn,7
tunic,7
Less,7
blinking,7
chorus,7
trodden,7
Dawn,7
dignity,7
toppled,7
cracks,7
odred,7
ford,7
wheeling,7
Several,7
foothills,7
crumbled,7
gem,7
tracker,7
captives,7
traveller,7
Longbottom,7
Kin-strife,7
garrison,7
merrily,7
herald,7
Drink,7
publication,7
curl,7
Thangorodrim,7
Saturday,7
longing,7
cloudy,7
wins,7
slid,7
Guards,7
discussed,7
deemed,7
befell,7
Evil,6
giant,6
assail,6
thongs,6
striking,6
quickened,6
fortunes,6
halting,6
hammers,6
caution,6
terrace,6
repaired,6
version,6
strain,6
Round,6
everlasting,6
fathoms,6
Sunday,6
references,6
furlongs,6
onward,6
selection,6
unguarded,6
gaunt,6
untroubled,6
heap,6
July,6
pondering,6
resisted,6
load,6
stamping,6
bags,6
invasion,6
digging,6
respect,6
shifting,6
revision,6
Bear,6
sixty,6
helps,6
eighteen,6
fluttering,6
parties,6
reeled,6
Seldom,6
Mortal,6
customs,6
vanguard,6
towered,6
Calimehtar,6
poised,6
revised,6
welled,6
captive,6
scarce,6
dome,6
bulk,6
decent,6
rights,6
diary,6
papers,6
escapes,6
shrunken,6
robe,6
Chetwood,6
north-west,6
verses,6
nowadays,6
twisting,6
swirled,6
thudding,6
mail-shirt,6
speaks,6
satisfied,6
Fathers,6
stillness,6
drear,6
fangs,6
hail,6
ghastly,6
twentieth,6
cakes,6
graven,6
perfect,6
wing,6
agreement,6
weren,6
daughters,6
sprung,6
sickness,6
highlands,6
slashed,6
sable,6
J,6
gale,6
hum,6
opinion,6
Minardil,6
Telemnar,6
Sammath,6
Telumehtar,6
flitting,6
uncouth,6
inward,6
newcomers,6
hereafter,6
wrists,6
neighbourhood,6
rubbing,6
Inn,6
assailing,6
Staddle,6
personal,6
stirrups,6
longest,6
rampart,6
rebels,6
gang,6
collected,6
demand,6
row,6
innkeeper,6
aching,6
Deeping,6
Small,6
quail,6
Monday,6
wretch,6
hr,6
demanded,6
pray,6
glens,6
tormented,6
treated,6
climbs,6
nassty,6
sickly,6
Return,6
cook,6
Celebr,6
Southern,6
twinkle,6
kick,6
relatives,6
victorious,6
APPENDIX,6
challenged,6
panted,6
gain,6
images,6
split,6
mines,6
beginnings,6
girt,6
safer,6
possibly,6
confines,6
Willow,6
lilies,6
fissh,6
Help,6
varieties,6
stalked,6
Evening,6
Cf,6
huts,6
arrangements,6
Elvenhome,6
leaps,6
Gondolin,6
refc,6
skins,6
astonishing,6
wives,6
promises,6
slimy,6
smoked,6
anguish,6
waterfall,6
livid,6
dangling,6
vessels,6
appearance,6
skies,6
clever,6
enslaved,6
significance,6
invention,6
tray,6
morsel,6
busied,6
referring,6
tradition,6
pair,6
crescent,6
bathe,6
summers,6
gaped,6
fails,6
thud,6
linen,6
yess,6
pouch,6
chimney,6
ar,6
serpent,6
Y,6
fortunate,6
hazy,6
willows,6
approved,6
south-west,6
mar,6
Room,6
Ach,6
arches,6
Boffins,6
candle,6
esteem,6
bewildered,6
native,6
twig,6
riel,6
paddled,6
chattering,6
invaders,6
Wulf,6
Silmaril,6
loosened,6
venomous,6
witless,6
November,6
earned,6
hem,6
Seeing,6
Armies,6
counsellor,6
hoard,6
Hoo,6
moss,6
tremor,6
haggard,6
Nearly,6
Holdwine,6
Turgon,6
image,6
rendur,6
wail,6
fainter,6
spells,6
Periannath,6
speeding,6
stagnant,6
IV,6
foreseen,6
manhood,6
separated,6
Ahead,6
wielding,6
Moot,6
casting,6
oak,6
blessing,6
punishment,6
source,6
obey,6
villages,6
attacks,6
rearguard,6
stolen,6
limp,6
tree-trunk,6
surrendered,6
Cold,6
splintered,6
BOOK,6
Arveleg,6
tasted,6
inns,6
cruelly,6
Dangerous,6
ng,6
dug,6
slippery,6
howls,6
snapping,6
stuffy,6
extended,6
marble,6
childhood,6
entirely,6
kinship,6
established,6
crashing,6
showing,6
labouring,6
mend,6
Fly,6
coney,6
boiling,6
experience,6
remark,6
Barrow-wights,6
usage,6
Verily,6
unusual,6
wheel,6
wisest,6
rabble,6
Downfall,6
Luin,6
explored,6
Standing,6
draughts,6
thatched,6
keenly,6
impression,6
wastes,6
Ban,6
seconds,6
Bearer,6
caverns,6
Trust,6
copper,6
beckoned,6
fireside,6
stung,6
annoyed,6
smiths,6
Mazarbul,6
reckless,6
Silmari,6
handy,6
urged,6
tramp,6
Whiteskins,6
barrels,6
creak,6
mount,6
mirrored,6
Elf-lord,6
withdraw,6
blushing,6
fishes,6
advancing,6
rowan,6
tides,6
swathed,6
crumbling,6
birch,6
clash,6
blackened,6
contemporary,6
strewn,6
bathed,6
ribbon,6
murdered,6
inheritance,6
bole,6
wafer,6
Hear,6
helpless,6
grumbling,6
thieving,6
furnaces,6
discern,6
afford,6
accord,6
particular,6
foundered,6
loneliness,6
influence,6
Celebrimbor,6
Me,6
Lo,6
ou,6
abominable,6
avenge,6
print,6
Dwimorberg,6
clapping,6
grabbed,6
earnest,6
ideas,6
timid,6
counting,6
involved,6
Cracks,6
cities,6
hoods,6
mistaken,6
reader,6
oppressed,6
bearer,6
fleets,6
clouded,6
ankle,6
revenge,6
birches,6
True,6
errand-riders,6
contest,6
hush,6
elm,6
mustering,6
relaxed,6
Following,6
fountains,6
keeper,6
devour,6
declare,6
thirst,6
Valinor,6
bored,6
bewilderment,6
hw,6
cheat,6
Tengwar,6
orc-hold,6
moves,6
unbearable,6
devoured,6
tremble,6
fiftieth,6
compared,6
gloating,6
significant,6
naic,6
drafts,6
unscathed,6
harp,6
waggons,6
tent,6
windless,6
examples,6
tribute,6
subdued,6
summon,6
HarperCollins,6
panting,6
shoes,6
gnawed,6
domain,6
Horse-lords,6
tend,6
wrinkled,6
Northfarthing,6
Nimrais,6
snakes,6
splashed,6
ward,6
collapsed,6
earliest,6
unfurled,6
spotted,6
plundered,6
Evendim,6
cavernous,6
out-thrust,6
Angerthas,6
utter,6
express,6
estranged,6
Fastred,6
outlandish,6
sapling,6
sake,6
asks,6
dh,6
threatened,6
insolence,6
arrival,6
spoons,6
tea,6
unexpectedly,6
disturb,6
maps,6
strife,6
tehtar,6
plates,6
alterations,6
palm,6
blending,6
forgetfulness,6
roving,6
Eress,6
gorg,6
starless,6
tehta,6
nature,6
choices,6
drenched,6
bitterness,6
cups,6
flowering,6
throbbing,6
easterly,6
musical,6
amazing,6
W,6
birth,6
cracking,6
equivalents,6
Erestor,6
daunted,6
tarried,6
heirloom,6
untimely,6
flights,6
add,6
Orom,6
watches,6
heirlooms,6
slime,6
sting,6
mirror,6
j,6
sneered,6
kingsfoil,6
pains,6
reappear,6
remnants,6
forsook,6
merrymaking,6
shows,6
toiled,6
syllable,6
detail,6
erect,6
Street,6
knocking,6
blurred,6
townlands,6
angle,6
Morning,6
visions,6
Blue,6
treason,6
forging,6
onslaught,6
Actually,5
tenth,5
shutting,5
chanting,5
stunted,5
terribly,5
Riding,5
intervals,5
licking,5
admit,5
loathing,5
consonantal,5
ee,5
slung,5
Tarondor,5
spied,5
deathly,5
Horsemen,5
sentinels,5
cowering,5
boot,5
swirl,5
adamant,5
horribly,5
shreds,5
ink,5
stunned,5
efforts,5
battered,5
omen,5
Moreover,5
bet,5
emendations,5
Dear,5
sweating,5
Wraiths,5
unveiled,5
piers,5
whips,5
patient,5
vapours,5
downfall,5
supporting,5
acquainted,5
talks,5
seed,5
anniversary,5
tooth,5
watch-fires,5
left-hand,5
goodness,5
columns,5
expressed,5
muffled,5
hit,5
Sindar,5
turmoil,5
hates,5
puffed,5
Nos,5
hew,5
needlessly,5
printing,5
flakes,5
chambers,5
gentler,5
sharper,5
Ai,5
sleeve,5
Celebdil,5
sensible,5
explore,5
Yonder,5
darkest,5
foggy,5
elven-cloaks,5
strands,5
gladness,5
Nan,5
Arador,5
sly,5
overheard,5
arguing,5
begs,5
Truly,5
shalt,5
heaps,5
manned,5
Concerning,5
strained,5
questioning,5
mockery,5
hewing,5
leisure,5
creaked,5
moors,5
oncoming,5
Oliphaunt,5
robbers,5
splash,5
Lithui,5
Crown,5
amends,5
picture,5
daunt,5
envelope,5
stake,5
rejoicing,5
splashing,5
Malvegil,5
Sing,5
provide,5
dismal,5
shiver,5
slanted,5
twist,5
grey-eyed,5
doughty,5
steams,5
opposite,5
gilded,5
mathom,5
linguistic,5
Aranarth,5
shading,5
opens,5
Grimbold,5
uncounted,5
locks,5
Chieftains,5
chooses,5
eighth,5
curving,5
brewing,5
surprising,5
outstretched,5
gradually,5
winters,5
drum,5
rung,5
hairy,5
Ironfoot,5
satisfaction,5
shorn,5
translation,5
fling,5
discussing,5
Pilgrim,5
fragments,5
preserve,5
splayed,5
eyelids,5
grunted,5
profit,5
Rules,5
repaid,5
laws,5
famished,5
stank,5
flaming,5
mace,5
quivered,5
inconsistencies,5
upland,5
exceedingly,5
States,5
gulls,5
orc-trail,5
firewood,5
nosing,5
Laurelind,5
gnaw,5
renan,5
straining,5
state,5
twigs,5
Undying,5
plumes,5
lovely,5
painfully,5
makil,5
loth,5
screened,5
tree-roots,5
stores,5
planned,5
drowsy,5
injuries,5
flecked,5
Court,5
shirt,5
bur,5
garment,5
gullies,5
smite,5
prints,5
Shire-hobbits,5
thankful,5
halflings,5
rebellion,5
Elros,5
Proudfoot,5
United,5
wakes,5
evergreen,5
Elwing,5
details,5
screen,5
IN,5
hitherto,5
teaching,5
conquer,5
youngster,5
hushed,5
freeze,5
sticking,5
Prancing,5
Further,5
Eat,5
Orthanc-stone,5
Hornblower,5
Elf-lords,5
lore-masters,5
accomplished,5
Horse-men,5
resistance,5
difference,5
unadorned,5
modified,5
convinced,5
representation,5
Arnen,5
girdle,5
scorched,5
underground,5
wizards,5
shutters,5
excellent,5
out-wall,5
sparks,5
England,5
shears,5
whirled,5
mocked,5
averted,5
toiling,5
hides,5
refusing,5
shared,5
pricked,5
broad-bladed,5
Keys,5
Jewels,5
suspect,5
needn,5
water-lilies,5
safely,5
continue,5
barely,5
heaven,5
proof,5
bond,5
Boffin,5
farms,5
Stairs,5
screamed,5
smells,5
versions,5
sunless,5
goblins,5
haunted,5
quarter,5
sheathed,5
Elven-smiths,5
bush,5
stock,5
mortals,5
liar,5
crafts,5
Ladyship,5
comrade,5
tree-trunks,5
Travellers,5
Steady,5
nasals,5
oth,5
cheated,5
Leastways,5
boles,5
herdsmen,5
Paladin,5
spying,5
flared,5
initially,5
Silly,5
vote,5
featureless,5
frail,5
imagining,5
robbed,5
raw,5
Ethir,5
spirant,5
curses,5
grandmother,5
Bolgers,5
clasping,5
North-west,5
despaired,5
floods,5
gracious,5
troops,5
governed,5
forbid,5
rooted,5
sideways,5
repeat,5
unused,5
everybody,5
Garn,5
horn-call,5
livery,5
amused,5
arrested,5
Cirth,5
pairs,5
ambush,5
directions,5
Northward,5
trenches,5
Esgaroth,5
purposed,5
fortnight,5
rapidly,5
dense,5
lid,5
specks,5
combination,5
Frogmorton,5
hangings,5
homeless,5
prefer,5
enmity,5
terrifying,5
Call,5
strangest,5
Eldamar,5
thirteen,5
tree-tops,5
unmanned,5
blended,5
indicated,5
prowling,5
control,5
item,5
shrivelled,5
Lhaw,5
curved,5
evidence,5
sidelong,5
reputation,5
marvels,5
files,5
shuffled,5
Westfarthing,5
overhanging,5
au,5
Passing,5
Heed,5
nick,5
staying,5
covering,5
lanes,5
Lay,5
stuffed,5
honey,5
extensive,5
apples,5
disappearance,5
fissure,5
reminder,5
pretended,5
pondered,5
sharpened,5
careless,5
abreast,5
excitement,5
deep-cloven,5
childless,5
Lie,5
Bandobras,5
Fallohides,5
development,5
survive,5
culvert,5
Thing,5
periods,5
Deeping-stream,5
scattering,5
increase,5
Choose,5
ninety-nine,5
spellings,5
apparently,5
bother,5
nut,5
slumber,5
rat,5
Rapids,5
forefathers,5
loa,5
modern,5
oppose,5
waylay,5
bonds,5
pavilions,5
tools,5
darts,5
Stand,5
Stop,5
wink,5
portage-way,5
Finduilas,5
comment,5
cord,5
noses,5
sold,5
hostile,5
flapping,5
Snow,5
sell,5
Going,5
immeasurable,5
nn,5
nails,5
minstrel,5
defending,5
gay,5
honest,5
avenged,5
NOTE,5
Ring-bearers,5
P,5
richly,5
Cormallen,5
meats,5
cuts,5
surpassed,5
ropes,5
pushing,5
Lossoth,5
stabbing,5
pulling,5
branched,5
trusty,5
Mist,5
reject,5
adapted,5
choking,5
Orders,5
printings,5
Barley,5
Windlord,5
sliding,5
audience,5
shift,5
windy,5
mastery,5
conversation,5
mustered,5
hastening,5
renew,5
Seems,5
Tharbad,5
swarthy,5
b,5
strongest,5
torchlight,5
fir,5
grovelling,5
Exiles,5
dun,5
discovery,5
sea-birds,5
roamed,5
Doriath,5
dozed,5
spoon,5
variety,5
replaced,5
hailed,5
roadside,5
joints,5
Hamfast,5
dotted,5
mask,5
Causeway,5
Elven-folk,5
wood-fire,5
disastrous,5
befall,5
ai,5
merrier,5
dully,5
farm,5
arrive,5
openings,5
spur,5
thoroughly,5
Tonight,5
opposed,5
leaders,5
corridor,5
defenders,5
touching,5
defied,5
meddle,5
Hush,5
sniff,5
persuade,5
dusty,5
raced,5
forgetful,5
neighbour,5
sorely,5
warfare,5
rendered,5
quenched,5
comic,5
Thence,5
Listen,5
northerly,5
packet,5
sterner,5
prince,5
describe,5
argument,5
phantom,5
interesting,5
neat,5
Hard,5
enclosed,5
hillmen,5
Bucklanders,5
Weather,5
narrative,5
phantoms,5
prevented,5
rh,5
Felar,5
blushed,5
border,5
block,5
veils,5
Find,5
faithless,5
properly,5
mansions,5
multiplied,5
gateway,5
camping,5
fleeing,5
preparations,5
cheeks,5
Isn,5
threads,5
description,5
nicely,5
tame,5
objected,5
maidens,5
additions,5
features,5
neighing,5
mail-clad,5
variations,5
prudence,5
completed,5
eve,5
spurred,5
mugs,5
blasted,5
tamed,5
quaking,5
ants,5
destroying,5
calma,5
apt,5
suspiciously,5
Got,5
blur,5
shrieking,5
V,5
slammed,5
sale,5
yells,5
support,5
stripped,5
snowy,5
Any,5
Companions,5
Nanduhirion,5
fancies,5
flags,5
manuscript,5
anybody,5
prize,5
dig,5
clove,5
raid,5
Thrice,5
gloomily,5
clammy,5
sadness,5
Hallo,5
enormous,5
Elf-friends,5
trickled,5
cleave,5
widest,5
shrewd,5
sorrowful,5
Falls,5
animals,5
Hador,5
Meneldil,5
courtyard,5
propped,5
elven-blade,5
ankles,5
Dimly,5
wed,5
aghast,5
bowshot,5
constant,5
basket,5
belts,5
Hi,5
nod,5
milk,5
chewing,5
halts,5
quality,5
remind,5
outnumbered,5
writhed,5
tricks,5
receives,5
owe,5
furniture,5
impatiently,5
disguise,5
grandson,5
trespassing,5
Chamber,5
embraced,5
inland,5
riven,5
trot,5
well-ordered,5
tilled,5
contains,5
squealed,5
mil,5
season,5
shattered,5
Ciryandil,5
hillsides,4
choke,4
Otherwise,4
boomed,4
ru,4
Tired,4
Anderson,4
crumbs,4
Skinbark,4
Tindrock,4
render,4
jerk,4
lighten,4
Isengrim,4
combat,4
pitted,4
differences,4
unwise,4
grovelled,4
hating,4
formal,4
advantage,4
sheen,4
Sundering,4
South-kingdom,4
eyed,4
Poros,4
slap,4
deferential,4
welling,4
nasal,4
desolation,4
hateful,4
straw,4
feigned,4
billows,4
craftsmen,4
fortified,4
Tobold,4
departing,4
Fimbrethil,4
shieldmaiden,4
Leaf,4
bump,4
clatter,4
curls,4
peer,4
simpler,4
orc-voices,4
aisles,4
roofed,4
Grond,4
improved,4
nhere,4
lesson,4
reed,4
surrender,4
cheek,4
According,4
blotted,4
sprawled,4
bosom,4
Stormcrow,4
distress,4
bench,4
degree,4
violent,4
awkward,4
alphabet,4
ent-house,4
approval,4
subsided,4
Picking,4
puts,4
morn,4
multiply,4
ray,4
amusement,4
Arrow,4
debating,4
cluster,4
depth,4
kindreds,4
Hours,4
Sir,4
oaths,4
cheese,4
seaward,4
Dusk,4
reports,4
convenient,4
denied,4
bounded,4
square,4
Doubtless,4
landings,4
KING,4
sister-son,4
hobbit-holes,4
shrubs,4
unnoticed,4
shouts,4
jolly,4
Jolly,4
shepherds,4
Command,4
inhabited,4
feed,4
warmed,4
enriched,4
Fountain,4
scowled,4
ashamed,4
softened,4
beam,4
geese,4
suddenness,4
meals,4
Douglas,4
barn,4
quavering,4
Within,4
Belecthor,4
bastion,4
chuckled,4
silmaril,4
nightly,4
rejoiced,4
raged,4
umbrella,4
rippled,4
pillows,4
boar,4
impatient,4
circling,4
perchance,4
invented,4
morning-light,4
supply,4
mead,4
River-daughter,4
fallow,4
material,4
victories,4
midges,4
Swords,4
re-entered,4
cloths,4
Ha,4
beak,4
Loth,4
wrenched,4
transcription,4
Horns,4
permission,4
respectively,4
occupying,4
crow,4
lover,4
element,4
swarmed,4
mantelpiece,4
Felagund,4
wrist,4
Watchful,4
bends,4
rats,4
grandfather,4
Harry,4
flanks,4
Araphant,4
gatekeeper,4
Southron,4
keen-eyed,4
boys,4
slightly,4
retreating,4
rents,4
Mind,4
culture,4
snare,4
curiosity,4
Westfold-men,4
grind,4
slabs,4
Pinnath,4
Hirluin,4
fork,4
Hoy,4
disappear,4
iu,4
glooms,4
skilful,4
Snowmen,4
alert,4
miserably,4
parlour,4
giants,4
grievously,4
unquiet,4
colds,4
strikes,4
scabbard,4
Ringwraith,4
certainty,4
inclined,4
pinned,4
district,4
prying,4
stables,4
skulking,4
ore,4
seeks,4
composed,4
NOT,4
Please,4
homelike,4
leering,4
Wonder,4
monsters,4
bothered,4
enduring,4
burial,4
obscured,4
groups,4
attentively,4
hemmed,4
Birthday,4
goblin,4
er,4
sheaths,4
Zirakzigil,4
closest,4
sounding,4
Combe,4
waver,4
masterful,4
slunk,4
elf,4
American,4
unfought,4
stilled,4
routed,4
ledges,4
permanent,4
Smeagol,4
News,4
bellowing,4
rebuild,4
flushed,4
swell,4
parley,4
Drawing,4
ringed,4
breeches,4
Glittering,4
yelling,4
clanged,4
Falastur,4
Ship-kings,4
cautious,4
instances,4
Ill,4
outlets,4
circuit,4
breaches,4
AWAKE,4
deer,4
answerable,4
platform,4
pyre,4
Nowhere,4
Remmir,4
panic,4
north-east,4
arriving,4
readiness,4
stone-work,4
shielding,4
bane,4
weave,4
Rope,4
kine,4
Fall,4
stress,4
fever,4
kinsmen,4
brethren,4
verily,4
fills,4
Either,4
jerked,4
heaviness,4
billowing,4
modernized,4
Thrihyrne,4
Shore,4
Thereupon,4
spun,4
sire,4
steward,4
porter,4
Hobbit-names,4
fulfil,4
Whose,4
sequel,4
fruitless,4
dreamed,4
South-gate,4
madly,4
humming,4
presses,4
coastlands,4
Crossings,4
Bay,4
ancestral,4
shrunk,4
Stybba,4
twelfth,4
patiently,4
queens,4
squeaking,4
clink,4
displeased,4
afoot,4
fiddle,4
Thunder,4
comments,4
Ar-Ad,4
essential,4
timbers,4
explanation,4
unsheathed,4
tap,4
Open,4
beleaguered,4
disappearing,4
situation,4
counsellors,4
Ship,4
jogged,4
clefts,4
noisily,4
jet,4
hoom-hom,4
honourable,4
van,4
bands,4
trench,4
post,4
tightening,4
Bree-landers,4
right-hand,4
guarding,4
perceiving,4
Gelin,4
nimble,4
wreckage,4
sworn,4
crushing,4
recounted,4
Southward,4
dells,4
tapping,4
debt,4
trifle,4
bolder,4
dainty,4
holly,4
Cruel,4
exclamation,4
nakh,4
floors,4
lightened,4
starved,4
Swan,4
coomb,4
covers,4
man-food,4
barns,4
dwellers,4
modification,4
whiter,4
restlessly,4
eagerness,4
forts,4
heeding,4
distressed,4
tips,4
twenty-four,4
sill,4
crevices,4
warnings,4
weaker,4
haft,4
whichever,4
awaited,4
clawed,4
capable,4
leaked,4
injured,4
rewarded,4
Mercy,4
dishes,4
lalla,4
poisonous,4
exchanged,4
marries,4
Scatha,4
eleventy-one,4
alteration,4
prospect,4
Halt,4
contrive,4
graveyard,4
Valimar,4
trip,4
respectable,4
merriment,4
potency,4
completely,4
washing,4
conspiracy,4
Whoa,4
narrower,4
glared,4
genealogies,4
loop,4
rot,4
deserved,4
Ori,4
armouries,4
agony,4
array,4
smitten,4
December,4
Nibs,4
gaining,4
mantled,4
storey,4
bower,4
puff,4
regained,4
fruits,4
brook,4
surpassing,4
Hot,4
butterflies,4
starving,4
hey,4
Haunted,4
lightnings,4
upturned,4
background,4
guiding,4
forgiven,4
gardener,4
cf,4
healers,4
Won,4
swore,4
raided,4
dated,4
fort,4
tree-ish,4
Ancient,4
indicate,4
elders,4
tackle,4
heath,4
upheld,4
lifeless,4
burdened,4
mortally,4
stinks,4
lodge,4
dots,4
Latin,4
Lithedays,4
rattling,4
Fram,4
wrung,4
blinded,4
Enough,4
glistened,4
Didn,4
Bracegirdles,4
believing,4
kinsfolk,4
loathsome,4
sticks,4
south-east,4
foolishly,4
comrades,4
shorten,4
orc-arrows,4
hill-side,4
masked,4
regard,4
ducked,4
quarrelling,4
uruks,4
Naith,4
hounds,4
grinning,4
undoing,4
wields,4
mithr,4
civil,4
immense,4
fouled,4
wiping,4
water-course,4
coiled,4
nightmare,4
Horn,4
bestowed,4
fitful,4
Blessed,4
Walkers,4
denser,4
amount,4
fir-trees,4
bleared,4
extra,4
Hallows,4
unsafe,4
Witch,4
indomitable,4
perian,4
sparkling,4
scowl,4
roofs,4
awaiting,4
bridle,4
eyeing,4
oval,4
downcast,4
engaged,4
nomenclature,4
separate,4
Nimloth,4
braided,4
attempts,4
tussock,4
widespread,4
grin,4
undergrowth,4
SHIRE,4
threaded,4
PART,4
pine-trees,4
cleaving,4
stool,4
swelling,4
cowed,4
Isle,4
minstrels,4
dizzy,4
relish,4
fey,4
yelp,4
pronounce,4
paperback,4
lagged,4
omitted,4
Words,4
survivors,4
discovering,4
steer,4
enters,4
Books,4
oaks,4
refreshing,4
drown,4
furious,4
unheeded,4
application,4
rashly,4
emissaries,4
herds,4
weds,4
Being,4
Yea,4
fitfully,4
elf-horse,4
rotting,4
brazen,4
Straight,4
spurt,4
breakfasted,4
mak,4
bargain,4
elements,4
well-tended,4
selling,4
felling,4
bereft,4
wain,4
yielding,4
studded,4
forges,4
rhymes,4
cheats,4
produced,4
wager,4
pot,4
protect,4
directly,4
river-bank,4
moored,4
Ask,4
drifted,4
twenty-first,4
wove,4
theirs,4
eyot,4
fashioned,4
K,4
roughly,4
acknowledged,4
forge,4
Someone,4
swine,4
Turin,4
sorrows,4
Need,4
minor,4
invitations,4
rapids,4
-B,4
tinkling,4
diminish,4
profound,4
restrain,4
rabbit,4
housing,4
Till,4
stew,4
Journey,4
retreats,4
mallorn-trees,4
hero,4
Aldor,4
mended,4
stale,4
unmasked,4
fourteen,4
dish,4
travelling,4
banished,4
breaks,4
uprooted,4
despite,4
waxed,4
dreading,4
maid,4
antique,4
foothold,4
tireless,4
flask,4
disturbing,4
alarming,4
excited,4
whipped,4
unusually,4
birthday-present,4
variants,4
unforeseen,4
mires,4
Oldbucks,4
cunningly,4
Waymeet,4
knotted,4
Cottons,4
niphredil,4
Ash,4
black-feathered,4
connexion,4
Begone,4
mutter,4
compelling,4
wrap,4
blamed,4
silk,4
uncanny,4
hoary,4
rumbled,4
dropping,4
correctly,4
beastly,4
handful,4
sand,4
kinder,4
Lots,4
swooned,4
pull,4
adhered,4
strung,4
uncle,4
aim,4
troth,4
abashed,4
zh,4
tuil,4
provisions,4
Iarwain,4
manners,4
raise,4
disquiet,4
lieutenant,4
available,4
lessen,4
impassable,4
fist,4
water-bottle,4
footsore,4
Reluctantly,4
treasuries,4
reeking,4
slapping,4
Past,4
overwhelming,4
mingling,4
unharmed,4
uncommon,4
Min-Rimmon,4
margin,4
spray,4
forked,4
Low,4
pedestal,4
filed,4
August,4
rum,4
substituted,4
succeed,4
Tookland,4
hummed,4
Stonewain,4
centuries,4
darted,4
Dior,4
scroll,4
mithril-coat,4
hers,4
tributary,4
crush,4
foresight,4
firth,4
battle-field,4
Naught,4
hoards,4
resemble,4
tones,4
charging,4
West-lands,4
chilly,4
stealthily,4
hale,4
Below,4
domes,4
neglected,4
stinking,4
widening,4
enderi,4
cream,4
tire,4
tip,4
fiefs,4
n-buri-Gh,4
rushes,4
cheers,4
shadowed,4
chests,4
tinder,4
tree-root,4
accuracy,4
hairs,4
doubling,4
Farthings,4
penalty,4
window-slit,4
amidst,4
thereafter,4
sequence,4
rebel,4
dillo,4
waits,4
foiled,4
committed,4
richer,4
Willow-man,4
cloudless,4
hopping,4
systems,4
Elven-king,4
overthrew,4
delve,4
encircled,4
jogging,4
jutting,4
Gulf,4
modifications,4
Easy,4
Hither,4
temper,4
inaccessible,4
arising,4
therein,4
defy,4
Sirannon,4
coverlet,4
Clear,4
Outsiders,4
bordered,4
encourage,4
coil,4
wearisome,4
trickle,4
bits,4
depressed,4
Varda,4
placing,4
nu,4
dipped,4
skilfully,4
unlooked,4
February,4
surviving,4
shaven,4
grieves,4
evolution,4
disappointed,4
Messengers,4
twitching,4
enjoyed,4
ranges,4
Watch,4
squat,4
Grey-elven,4
Ar,4
plots,4
grain,4
thorny,4
owing,4
justice,4
slab,4
unawares,4
distantly,4
interrupting,4
publisher,4
Thy,4
plays,4
Overlithe,4
encouraging,4
occasional,4
drip,4
plainer,4
differed,4
flowered,4
club,4
unhorsed,4
merged,4
enclosing,4
Snow-white,4
inevitably,4
settling,4
unheard,4
amongst,4
fumbled,4
descend,4
rue,4
Gently,4
pines,4
enjoy,4
scanty,4
cheered,4
drier,4
distinguish,4
loftier,4
cart,4
Shirriff,4
Robin,4
Shirriff-house,4
sss,4
shabby,4
Elven,4
broadened,3
frontier,3
feasts,3
hugging,3
intelligible,3
leafless,3
badly,3
tribes,3
guises,3
foundation,3
Carrock,3
grate,3
screw,3
Uttermost,3
northernmost,3
Heavy,3
seventeen,3
bothering,3
wreathed,3
lawns,3
Nen,3
gallop,3
descried,3
conceal,3
forebodes,3
Silence,3
adrift,3
vie,3
traced,3
marshals,3
sighted,3
loops,3
misfortune,3
rattled,3
Firstborn,3
faggot,3
coiling,3
swish,3
hardest,3
throats,3
eluded,3
scimitars,3
emptied,3
paddling,3
rendering,3
acres,3
behaved,3
nail,3
thronged,3
tottering,3
hotter,3
noticing,3
othain,3
brushing,3
Entwood,3
lashing,3
lashed,3
Burden,3
occurs,3
Greyhame,3
strive,3
wire,3
braids,3
venerable,3
orc-speech,3
haughty,3
wanes,3
orc-host,3
lend,3
scales,3
Despair,3
piles,3
shadowless,3
lakes,3
swart,3
strangling,3
tryst,3
nothingness,3
cushions,3
feat,3
judges,3
forsake,3
sip,3
Desolation,3
croaking,3
spiral,3
necessity,3
frightful,3
unguessed,3
proofs,3
heel,3
lurched,3
upstream,3
caressed,3
distrust,3
singular,3
Having,3
pallid,3
half-light,3
errantry,3
Smoke,3
cock,3
crowed,3
mat,3
guts,3
Believe,3
belief,3
uttermost,3
gleams,3
weregild,3
plucking,3
Deadmen,3
withdrawing,3
fated,3
Winged,3
brigands,3
argue,3
fragment,3
Meaning,3
feud,3
la,3
ceiling,3
excused,3
Bombur,3
queenly,3
subject,3
mountain-tops,3
greeting,3
firmer,3
saving,3
speedily,3
submit,3
Bain,3
sheet,3
unstained,3
gravest,3
undamaged,3
horsed,3
Walls,3
neighbours,3
Mearas,3
Beware,3
Southerner,3
tremendous,3
Onodrim,3
wizened,3
slackening,3
buy,3
iron-shod,3
jar,3
handled,3
Glad,3
ponder,3
tier,3
eyrie,3
Eagle,3
sap,3
tender,3
puzzle,3
Mitheithel,3
Tirion,3
unshod,3
Ilmarin,3
overlaid,3
dot,3
Westward,3
outlined,3
leathern,3
Hastily,3
keener,3
ENT,3
galadhremmin,3
hmm,3
ennorath,3
Taking,3
ENTWIFE,3
gesture,3
Earth,3
swelled,3
tum,3
timeless,3
le,3
fighter,3
cairn,3
neatly,3
fared,3
mossy,3
harpers,3
